review,sentiment
"""Ice Age"" is one of the cartoon movies ever produced by Blue Sky Studios and released in 2002 as the company's first. We are introduced to the main characters: a squirrel named Scrat (voiced by Chris Wedge, AND PLEASE NOTE: the sound of Scrat's screams is the sound of Tom's screams from the ""Tom and Jerry"" cartoons), a woolly mammoth named Manny (voiced by Ray Romano of ""Everybody Loves Raymond""), a sloth named Sid (voiced by John Leguizamo of ""Titan A. E.""), and a saber toothed tiger named Diego (voiced by Denis Leary of Pixar's ""A Bug's Life"").<br /><br />The movie opens with Scrat trying to bury an acorn and right after that, he caused an avalanche. We then see a herd going south for the coming Ice Age (except for Manny, who is going the other way looking for other mammoths that looked like him). Sid comes out of his cave yawning, and saw that his family abandoned him. He then pays toll with some aardvarks. Unfortunately, he gets pursued by Sylvia (voiced by Kirsten Johnston of ""3rd Rock from the Sun""), a female orange sloth, who wants Sid to go migrating with her. Sid eventually teams up with Manny, and they became friends.<br /><br />Meanwhile, nearby a human tribe, Soto (voiced by Goran Visnjic), an evil saber toothed tiger, wants revenge against the tribe's leader for wiping out half of his pack just by stealing his infant son, Roshan, away from him. In the morning, he, Diego, and Soto's henchmen, Lenny (voiced by Alan Tudyk), Oscar (voiced by Diedrich Bader), and Zeke (voiced by Jack Black) attacked the tribe, but the leader's wife escaped with Roshan and gave him to Manny and Sid to look after. Eventually, Diego joins them, and went on a journey to return Roshan back to his tribe, who are also looking for him as well. Relax and watch the rest of the movie and find out, okay? Besides Manny, Sid, Diego, Scrat, Sylvia, and Roshan, the supporting characters in there including a pack of wolves that Roshan's tribe are using, and not to mention a fat female purple sloth named Jennifer (voiced by Jane Krakowski), and a skinny female yellow sloth named Rachel (voiced by Lorri Bagley), to whom Sid shows them Roshan as they relax in a tar pit. Incidentally, the two rhinos, Carl (voiced by Cedric The Entertainer of PDI's ""Madagascar""), and Frank (voiced by Stephen Root of Pixar's ""Finding Nemo""), who go after Sid for ruining their meal and confront Manny on a cliff, are simple minor characters. Same went for the dodos, who are using melons as their food supply.<br /><br />The gags in this movie are very funny. For instance, Manny talks through his trunk saying, ""I'M NOT GOING!"" When Jennifer and Rachel are out of the tar pit, Sid asks Jennifer ""What do you say if we jump into the gene pool and see what happens?"" Jennifer then responds to him, ""What do you say if you go jump into the TAR PIT!?"" Rachel also then kicks Sid in the waist. Sylvia sees Diego holding Sid by the neck with his teeth, then she asks Sid if he's holding his breath, tells Diego to eat him, and promptly walks off.<br /><br />Since ""Ice Age"" is not only a success, but it has 2 sequels: the first one was ""Ice Age: The Meltdown"", which was released in 2006, and the other was ""Ice Age: Dawn of the Dinosaurs"", which is going to be releasing next year. I can hardly die waiting to see what ""Ice Age: Dawn of the Dinosaurs"" will be like.",positive
"Gorgeous Techicolor production telling the unusual tale of the romance between a woman of strong religious faith and a Trappist monk who has left his monastery, breaking his vows. The film opens at a convent in Europe, where a former student prays - a lonely beauty in black named Domini (Marlene Dietrich). She is advised by the Mother Superior to go to the desert and ""find herself"", and lose her grief over her father who has recently died. In the train car on the way into the Sahara she sits opposite a very, very troubled man (Charles Boyer) - our former monk. She's soon at a hotel near a palm-treed oasis where she again sees our mysterious troubled man as he is stumped over what to do when confronted by a very seductive dancing girl. Domini becomes friends with him, though knows nothing of his past - romance soon to follow.<br /><br />This film is sentimental, melodramatic, and different (in a way, almost surreal and even a bit campy) - I found it to be quite fun and entertaining. The photography in this is really interesting - it is full of extreme facial close-ups and beautiful color shots of caravans of horses crossing the desert, silhouetted figures against a sunset sky. Marlene Dietrich gives a nicely done, though restrained, performance here and looks gorgeous. Charles Boyer - not usually one of my favorites - is actually pretty good in this, I think the part sort of suits him and he looks quite young and handsome too. Basil Rathbone is fine here, except given very little to do. Another great orchestral score by Max Steiner helps keep the drama rolling - all in all, a very enjoyable film.",positive
"WARNING: POSSIBLE SPOILERS (but not really - keep reading). Ahhh, there are so many reasons to become utterly addicted to this spoof gem that I won't have room to list them all. The opening credits set the playful scene with kitsch late 1950s cartoon stills; an enchanting Peres 'Prez' Prado mambo theme which appears to be curiously uncredited (but his grunts are unmistakable, and no-one else did them); and with familiar cast names, including Kathy Najimi a full year before she hit with Sister Acts 1 & 2 plus Teri Hatcher from TV's Superman.<br /><br />Every scene is imbued with shallow injustices flung at various actors, actresses and producers in daytime TV. Peeking behind the careers of these people is all just an excuse for an old-fashioned, delicious farce. Robert Harling penned this riotous spoof that plays like an issue of MAD Magazine, but feels like a gift to us in the audience. Some of the cliched characters are a bit dim, but everyone is drizzling with high jealousy, especially against Celeste Talbert (Sally Field) who is the show's perennial award-winning lead, nicknamed ""America's Sweetheart"". The daytime Emmies-like awards opening does introduce us to Celeste's show, The Sun Also Sets. Against all vain fears to the contrary, Celeste wins again. She is overjoyed, because it's always ""such a genuine thrill"": ""Adam, did you watch? I won! Well, nguh..."" The reason for Adam's absence soon becomes the justification for the entire plot, and we're instantly off on a trip with Celeste's neuroses. She cries, screeches, and wrings her hands though the rest of the movie while her dresser Tawnee (Kathy Najimi, constantly waddling after Celeste, unseen through Celeste's fog of paranoia) indulges a taste for Tammy Faye Baker, for which Tawnee had been in fact specifically hired.<br /><br />Rosie Schwartz (Whoopi Goldberg) has seen it all before. She is the head writer of the show, and she and Celeste have been excellent support networks to each other for 15 years. So when Celeste freaks, Rosie offers to write her off the show for six months: ""We'll just say that Maggie went to visit with the Dalai Lama."" But Celeste has doubts: ""I thought that the Dalai Lama moved to LA."" ""-Well, then, some other lama, Fernando Lamas, come on!"". Such a skewering line must be rather affronting to still living beefcake actor Lorenzo Lamas, son of aforementioned Fernando Lamas (d. 1982).<br /><br />Those who can remember the economics teacher (Ben Stein) in Ferris Bueller's Day Off (1986) as he deadeningly calls the roll (""Bueller. Bueller. Bueller""), will take secret pleasure from seeing him again as a nitwit writer. Other well hidden member of the cast include Garry Marshall (in real life Mr Happy Days and brother of Penny), who ""gets paid $1.2 million to make the command decisions"" on The Sun Also Sets - he says he definitely likes ""peppy and cheap""; and Carrie Fisher as Betsy Faye Sharon, who's ""a bitch"".<br /><br />Geoffrey Anderson (Kevin Kline) is the ""yummy-with-a-spoon"" (and he is, by the way) dinner theater actor now rescued from his Hell by David Seaton Barnes (Robert Downey Jr), and brought back to the same show he was canned from 20 years earlier. Of course this presents some logical challenges for the current scriptwriters because his character, Rod Randall, was supposed to have been decapitated all those years ago. Somehow they work out the logical difficulties, and Geoffrey Anderson steps off the choo-choo.<br /><br />Celeste can now only get worse, and her trick of going across the Washington bridge no longer helps. First, her hands shake as she tries to put on mascara, but she soon degenerates into a stalker. Unfortunately, she cannot get rid of Geoffrey Anderson so easily. Geoffrey's been promised development of his one-man play about Hamlet, and he means to hold the producer to that promise. ""I'm not going back to Florida no-how!"", argues Geoffrey. ""You try playing Willie Loman in front of a bunch of old farts eating meatloaf !"" And indeed, seeing Geoffrey's dinner theater lifestyle amongst all the hocking and accidents is hilarious. Back in Florida in his Willie Loman fat suit in his room, Geoffrey Anderson used to chafe at being called to stage as ""Mr Loman"". He was forced to splat whatever cockroaches crawled across his TV with a shoe, and to use pliers instead of the broken analog channel changer. Now he find himself as the yummy surgeon dating Laurie Craven, the show's new ingenue; so he's not leaving.<br /><br />Beautiful Elizabeth Shue (as Laurie) rounds out the amazing ensemble cast who all do the fantastic job of those who know the stereotypes all too well. But, of course, the course to true love never did run smoothly. Montana Moorehead (Cathy Moriarty) is getting impatient waiting for her star to rise, and is getting desperate for some publicity.<br /><br />Will her plots finally succeed? Will Celeste settle her nerves, or will she kill Tawnee first? Will the producer get Mr Fuzzy? -You'll just have to watch * the second half * of this utterly lovable, farcically malicious riot.<br /><br />And you'll really have to see to believe how the short-sighted Geoffrey reads his lines without glasses live off the TelePrompter. If you are not in stitches with stomach-heaving laughter and tears pouring down your face, feel free to demand your money back for the video rental. Soapdish (1991) is an unmissable gem that you will need to see again and again, because it's not often that a movie can deliver so amply with so many hilarious lines. This is very well-crafted humor, almost all of it in the writing. A draw with Blazing Saddles (1974) for uproarious apoplexy value, although otherwise dissimilar. Watch it and weep. A happy source for anyone's video addiction. 10 out of 10.",positive
"Freddy's Dead: The Final Nightmare (1991) was the last film to feature Freddy Krueger as a solo act (not as an entity or a co-star). The years of killing have taken a toll upon the town of Springwood. It has gotten to the point that the little city has become a virtual ghost town. The parents who killed Freddy Krueger so many years ago have all paid the ultimate price. Only the mad inhabit the town and the survivors are scattered everywhere. But that doesn't stop Freddy from seeking out his final revenge. No matter how they try to stop him, he always comes back for more. But this time he finds out a little more about his old life. Can the kids finally stop Freddy for good? What is this secret that is buried in Freddy's twisted mind? to find out you'll have to watch Freddy's Dead. the end was originally filmed in 3-D.<br /><br />A fitting way to end the franchise. Freddy learns something about himself and his perverted life and he gets to go out in a bang! Lisa Zane, Yaphet Kotto and Freddy Krueger star in this final installment. Rosanne, Tom Arnold and Johnny Depp make special appearances. A whole lot better than the last one but it's filled with a few dated jokes. If you enjoy the series then you don't want to miss out on this one.<br /><br />I have to recommend this movie for Freddy fans.",positive
"I am afraid I will have to add my name to the long list of people who remain flabbergasted that this film has STILL not ( sept 2007 ) been issued on DVD. It's one of those mysteries that makes the mind boggle, especially when you consider the amount of DVD's available today containing material that should have been binned years ago. Still I have an excellent digital VHS copy in English with subtitles and Nicam Stereo so my qualm is more one of principle than a frustration at not being able to view the film. As to the film itself, this is an excellent all-rounder with good picture quality, more than satisfactory soundtrack, lively plot involving suspense, emotion, sadness, frustration, feeling good and exotic surroundings ( for a European ). How true the film fits in with the reality in Burma I have no idea, indeed, that is less important, the essential thing is that entertainment-wise, it is a success. One soon becomes attached to each of the main characters and I admit to having my heart in my mouth during the final crossing-the-river scene. It's a shame we hear so little about countries such as Burma and this film at least gives some insight into the country. Has the situation changed since 1995 ? The events which are to occur later this month seem to answer this question with a resounding ""No"" and the regime in place seems to be as brutal as ever, not even sparing the lives of monks, let alone women or children !",positive
"The movie celebrates life.<br /><br />The world is setting itself for the innocent and the pure souls and everything has ""Happy End"", just like in the closing scene of the movie.<br /><br />The movie has wonderful soundtrack, mixture of Serbian neofolk, Gypsy music and jazz.<br /><br />This movie is very refreshing piece of visual poetics.<br /><br />The watching experience is like you've been sucked in another colorful, romantic and sometimes rough world.<br /><br />Like Mr. Kusturica movie should be.",positive
"An extremely gentle retelling of the Shakespeare play (and much more overt about it than Forbidden Planet). Cassavetes is always a joy to watch, and even more so with Gena Rowlands sharing the spotlight. His take on the Prospero role is well suited for the sort of craggy all-knowing expression he brings to the story. This especially comes to the forefront in a scene when, upon spotting his estranged wife and her lover in a speedboat, he conjures up a storm (accompanied on the soundtrack by an appropriate selection from Stomu Yamashta's ""Go""). This is only one of the moments throughout the film where the line between reality and fantasy becomes nicely blurred, and the viewer is left with the feeling that magic is more possible than one might believe. Add to this an excellent performance by Raul Julia, plus good work by Susan Sarandon, Vittorio Gassman and Molly Ringwald, and the film becomes a nice little treat to occupy the space behind your eyes.",positive
"Enjoyed catching this film on very late late late TV and it kept my interest through out the entire picture. This wonderful creepy, yet mysterious looking English home, with evil looking decorations and weired furniture and rooms that make you wonder just why anyone would want to rent this home or even own it. There are four(4)Tales concerning this house, and each resident of the home meets with all kinds of problems. You will notice the beautiful lake and pond around the home and also the sweet singing of birds, but don't let that fool you, there is horror all over the place. Peter Cushing,""Black Jack"",'80 gives a great performance as one of the person's living in the home and even Christopher Lee,""Curse of the Crimson Altar"",68 and his little daughter, Chloe Franks,(Jane Reid) make a wonderful exciting story together, his daughter for some reason loves to read WITCHCRAFT BOOKS! If you love creepy, horrible and mysterious films, with lots of surprises, this is the FILM FOR YOU!!!!",positive
"<br /><br />Film dominated by raven-haired Barbara Steele, it was seen when I was seven or eight and created permanent images of pallid vampiric men and women stalking a castle, seeking blood. Steele is an icon of horror films and an otherworldly beauty, and the views of the walking dead pre-date Romero's NIGHT OF THE LIVING DEAD shamblers, unifying them in my mind.<br /><br />I don't see the connection between this film and THE HAUNTING, which is clever but ambiguous about the forces present. LA DANZA MACABRE is a b-movie without pretention, daring you to fall in love with Barbara Steele and suffer the consequences. There's no such draw to HAUNTING's overwrought Claire Bloom. The comparisons to the HAUNTING are superficial.<br /><br />And no, this movie does NOT need to be remade. Not only is it a product of the Sixties, but the large percentage of talentless cretins in Hollywood cannot fathom MACABRE's formula for terror. That formula is based on one overriding factor: GOOD WRITING. Low-grade classics like CASTLE and Corman's Poe films with R. Matheson and Tourneur's OUT OF THE PAST share a commonality of strong writing. It's simple. Get a real writer like Richard Matheson or Steve McQuarrie and let them put a plot into today's cinematic mess. Besides that, let Hollywood attempt some original material for a change, and stop exploiting the obviously superior product of the past.",positive
Good action and interesting plot. Having seen the original I must say it was an interesting improvement and showed more of the movie. Good cast .. meaningful acting.. although it would nice to see some more expansion in the action scenes rather than the background story. Fun movie to watch and keeps you alert all the time 7/10 is a right vote I think!,positive
"For once a sequel to ""The Karate Kid"" without Ralph Macchio! Hilary Swank did an excellent job playing the orphan Julie Pierce. Pat Morita, the one who plays Mr. Miyagi worked his way with Julie quite different from Daniel. Both Daniel and Julie favored karate. Unlike Daniel, Julie was the most surly person Miyagi ever challenged. And there was no tournament to compete in. And there's gonna be some humor in this movie as well. I liked the part where when Julie came home from school, Miyagi went to check on her, and saw her change clothes in the process. That was very funny! And the classic ""Wax on, Wax off"" scene was different as well. It was funny when Miyagi tells Julie, ""Uh-oh, missed spot"". The set in Boston was a far cry from California. The Militant group in that group, was like the ""Cobra Kai"" in Boston. And Michael Ironside's Col. Dugan was no John Kreese. His group practically deserted him when Julie kicked some serious butt. They all paid the price when they blew up that classic Oldsmoblie. What a cowardly act. At least they'll find redemption from Dugan's poison. This Karate Kid sets some morals, unlike the last three, which talked about ""Honor"" and ""Respect"". Hilary Swank is outstandingly hot in any movie and everything else she does. Movie 9, Hilary Swank 10!",positive
"A stupid young man becomes obsessed with a woman--so obsessed that he loses perspective and common sense. An evil magician approaches him and informs him he can give him great wealth that he can use to win the lady's heart IF he agrees to give him anything he wants that's within their room. The dumb guy agrees and the magician steals the man's reflection out of the mirror--and bad things naturally occur as a result.<br /><br />If this film had been made just a decade later, I am sure I wouldn't have been so charitable in reviewing and scoring this film. After all, the film's plot is a bit vague in spots and the acting is, at times, a bit stilted. However, when you consider that in 1913 ""full-length"" films were rare--and often only 20 to 30 minutes long! Plus, the whole idea of a complex story like you get in this film is very unusual--as stories were very short and broadly acted. So, given the limitations of the time, this film is pretty good and is one of the earlier horror films known.",positive
"This movie is excellent!Angel is beautiful and Scamp is adorable!His little yelps when hes scared,and the funniest parts are when:Scamp is caught under the curtain and when Angel and Scamp are singing 'Ive Never Had This Feeling Before'.I totally recommend this movie,its coming out on special edition on June 20.The cover has scamp on a garbage can and Angel underneath the lid.<br /><br />I just cant explain this movie more than romantic,charming,hilarious,and adorable.The junkyard scenes are funny,all the junkyard dogs have something special.Too funny i laughed,kids will LOVE it.Buy it when it comes out,it has new features!",positive
"In a performance both volatile and graceful, Al Pacino re-teams with Sea of Love director, Harold Becker.<br /><br />As New York Mayor John Pappas in City Hall.<br /><br />A savvy thriller thats the first film ever shot inside the lower Manhattan structure that's ground zero for the City's government.<br /><br />That the other NYC locations provide the vivid settings as an idealistic mayoral aide (John Cusack) follows a trail of subversion and cover-up that may loop back to the man he serves and reveres.<br /><br />Bridget Fonda, Danny Aiello, Martin Landau, Tony Franciosa and David Paymer add more starry brilliance to this gripping tale of power.<br /><br />And the power behind power.",positive
"After going to sleep out of sheer loneliness, Lestat wakes from a 100-year sleep to the sounds of a new music he wants to be a part of and the band ""The Vampire Lestat"" is born. His longing to end his loneliness and his ""living in the light"" attitude along with his music, anger his fellow vampires and awaken an evil that has been slumbering for thousands of years.<br /><br />This film is not for those looking for a true book-to-film adaptation. Those who have read the books and expect to see it on the screen are in for a huge disappointment. This film will appeal to those who really enjoyed the ""Interview With the Vampire"" film.<br /><br />There are a few plot holes and incongruencies, but as a whole, this film was satisfying. Stuart Townsend portrays Lestat with a sensuality and sexiness lacking in the previous film. The relationships portrayed in the film were very sexy and sizzling.<br /><br />As a film, the story compels you and draws you in. Casting is wonderful. Loved this story and film. If you like simmering sensuality and sexual tension you'll love this film!",positive
"These are one of the movies that don't require any brain or thinking, it's a very funny time pass which you forgot in the next hour or so. I was really surprised with John Abraham's acting he usually playing the gangster like character with the emotionless face,so from that to playing the complete opposite and does it successfully,by managing to shine amongst the comic geniuses such as Paresh Rawal and Akshaye Kumar. I was also quite surprised with the Akshaye's 3 girls because there roles don't require much talent but mostly moaning about Akshaye's dissapearence(to the other girls) i was surprised as they managed to establish and actual persona and you could differentiate between them which is a good thing ,also majority of songs are good,it is colourful and fun so on a boring Sunday evening this will sure lighten your mood.",positive
"During the whole Pirates of The Caribbean Trilogy Craze Paramount Pictures really dropped the ball in restoring this Anthony Quinn directed Cecil B. DeMille supervised movie and getting it on DVD and Blu Ray with all the extras included. It is obvious to me that Paramount Pictures Execs are blind as bats and ignorant of the fact that they have a really good pirate movie in their vault about a real pirate who actually lived in New Orleans, Louisiana which would have helped make The Crescent City once again famous for it's Pirate Connections. When the Execs at Paramount finally get with the program and release this movie in digital format then I will be a happy camper. Paramount Pictures it is up to you to get off your duff and get this film restored now !",positive
